GEOID,NAME,ST,variable,value
2645240,Lakeview,Michigan,P001001,1007
2645340,Lakewood Club,Michigan,P001001,1291
2645420,Lambertville,Michigan,P001001,9953
2645540,L'Anse,Michigan,P001001,2011
2646000,Lansing,Michigan,P001001,114297
2646040,Lapeer,Michigan,P001001,8841
2646320,Lathrup Village,Michigan,P001001,4075
2646360,Laurium,Michigan,P001001,1977
2646440,Lawrence,Michigan,P001001,996
2646500,Lawton,Michigan,P001001,1900
2646800,Leland,Michigan,P001001,377
2646880,Lennon,Michigan,P001001,511
2646940,Leonard,Michigan,P001001,403
2647100,Le Roy,Michigan,P001001,256
2647180,Leslie,Michigan,P001001,1851
2647230,Level Park-Oak Park,Michigan,P001001,3409
2647240,Levering,Michigan,P001001,215
2647260,Lewiston,Michigan,P001001,1392
2647280,Lexington,Michigan,P001001,1178
2647560,Lincoln,Michigan,P001001,337
2647800,Lincoln Park,Michigan,P001001,38144
2647820,Linden,Michigan,P001001,3991
2647980,Litchfield,Michigan,P001001,1369
2649000,Livonia,Michigan,P001001,96942
2649400,Loomis,Michigan,P001001,213
2649450,Lost Lake Woods,Michigan,P001001,312
2649540,Lowell,Michigan,P001001,3783
2649640,Ludington,Michigan,P001001,8076
2649700,Luna Pier,Michigan,P001001,1436
2649720,Lupton,Michigan,P001001,348
2649740,Luther,Michigan,P001001,318
2649900,Lyons,Michigan,P001001,789
2649980,McBain,Michigan,P001001,656
2650000,McBride,Michigan,P001001,205
2650280,Mackinac Island,Michigan,P001001,492
2650320,Mackinaw City,Michigan,P001001,806
2650560,Madison Heights,Michigan,P001001,29694
2650620,Mancelona,Michigan,P001001,1390
2650660,Manchester,Michigan,P001001,2091
2650720,Manistee,Michigan,P001001,6226
2650755,Manistee Lake,Michigan,P001001,456
2650760,Manistique,Michigan,P001001,3097
2650830,Manitou Beach-Devils Lake,Michigan,P001001,2019
2650880,Manton,Michigan,P001001,1287
2650920,Maple City,Michigan,P001001,207
2650970,Maple Grove,Michigan,P001001,132
2651200,Maple Rapids,Michigan,P001001,672
2651460,Marcellus,Michigan,P001001,1198
2651540,Marenisco,Michigan,P001001,254
2651600,Marine City,Michigan,P001001,4248
2651660,Marion,Michigan,P001001,872
2651820,Marlette,Michigan,P001001,1875
2651900,Marquette,Michigan,P001001,21355
2651940,Marshall,Michigan,P001001,7088
2651980,Martin,Michigan,P001001,410
2652080,Marysville,Michigan,P001001,9959
2652180,Mason,Michigan,P001001,8252
2652380,Mattawan,Michigan,P001001,1997
2652440,Maybee,Michigan,P001001,562
2652540,Mayville,Michigan,P001001,950
2652760,Mecosta,Michigan,P001001,457
2652920,Melvin,Michigan,P001001,180
2652940,Melvindale,Michigan,P001001,10715
2652960,Memphis,Michigan,P001001,1183
2652980,Mendon,Michigan,P001001,870
2653020,Menominee,Michigan,P001001,8599
2653180,Merrill,Michigan,P001001,778
2653320,Mesick,Michigan,P001001,394
2653340,Metamora,Michigan,P001001,565
2653500,Michiana,Michigan,P001001,182
2653520,Michigamme,Michigan,P001001,271
2653580,Michigan Center,Michigan,P001001,4672
2653730,Middletown,Michigan,P001001,897
2653760,Middleville,Michigan,P001001,3319
2653780,Midland,Michigan,P001001,41863
2653920,Milan,Michigan,P001001,5836
2653960,Milford,Michigan,P001001,6175
2654120,Millersburg,Michigan,P001001,206
2654220,Millington,Michigan,P001001,1072
2654560,Minden City,Michigan,P001001,197
2654660,Mio,Michigan,P001001,1826
2655020,Monroe,Michigan,P001001,20733
2655100,Montague,Michigan,P001001,2361
2655220,Montgomery,Michigan,P001001,342
2655280,Montrose,Michigan,P001001,1657
2655500,Morenci,Michigan,P001001,2220
2655540,Morley,Michigan,P001001,493
2655560,Morrice,Michigan,P001001,927
2655820,Mount Clemens,Michigan,P001001,16314
2655960,Mount Morris,Michigan,P001001,3086
2656020,Mount Pleasant,Michigan,P001001,26016
2656080,Muir,Michigan,P001001,604
2656140,Mulliken,Michigan,P001001,553
2656200,Munising,Michigan,P001001,2355
2656320,Muskegon,Michigan,P001001,38401
2656360,Muskegon Heights,Michigan,P001001,10856
2656620,Napoleon,Michigan,P001001,1258
2656680,Nashville,Michigan,P001001,1628
2656860,Negaunee,Michigan,P001001,4568
2656960,Nessen City,Michigan,P001001,97
2657080,Newaygo,Michigan,P001001,1976
2657100,New Baltimore,Michigan,P001001,12084
2657140,Newberry,Michigan,P001001,1519
2657220,New Buffalo,Michigan,P001001,1883
2657280,New Era,Michigan,P001001,451
2657380,New Haven,Michigan,P001001,4642
2657520,New Lothrop,Michigan,P001001,581
2657660,New Troy,Michigan,P001001,497
2657760,Niles,Michigan,P001001,11600
2657920,North Adams,Michigan,P001001,477
2658080,North Branch,Michigan,P001001,1033
2658640,North Muskegon,Michigan,P001001,3786
2658740,Northport,Michigan,P001001,526
2658945,Northview,Michigan,P001001,14541
2658980,Northville,Michigan,P001001,5970
2659140,Norton Shores,Michigan,P001001,23994
2659220,Norway,Michigan,P001001,2845
2659320,Norwood,Michigan,P001001,142
2659440,Novi,Michigan,P001001,55224
2659740,Oak Hill,Michigan,P001001,569
2659860,Oakley,Michigan,P001001,290
2659920,Oak Park,Michigan,P001001,29319
2660180,Oden,Michigan,P001001,363
2660340,Okemos,Michigan,P001001,21369
2660580,Olivet,Michigan,P001001,1605
2660640,Omena,Michigan,P001001,267
2660660,Omer,Michigan,P001001,313
2660680,Onaway,Michigan,P001001,880
2660740,Onekama,Michigan,P001001,411
2660840,Onsted,Michigan,P001001,917
2660860,Ontonagon,Michigan,P001001,1494
2661020,Orchard Lake Village,Michigan,P001001,2375
2661220,Ortonville,Michigan,P001001,1442
2661320,Oscoda,Michigan,P001001,903
2661500,Ossineke,Michigan,P001001,938
2661600,Otisville,Michigan,P001001,864
2661620,Otsego,Michigan,P001001,3956
2661760,Otter Lake,Michigan,P001001,389
2661860,Ovid,Michigan,P001001,1603
2661920,Owendale,Michigan,P001001,241
2661940,Owosso,Michigan,P001001,15194
2662020,Oxford,Michigan,P001001,3436
2662180,Palmer,Michigan,P001001,418
2662340,Parchment,Michigan,P001001,1804
2662500,Parkdale,Michigan,P001001,704
2662740,Parma,Michigan,P001001,769
2662980,Paw Paw,Michigan,P001001,3534
2663020,Paw Paw Lake,Michigan,P001001,3511
2663200,Pearl Beach,Michigan,P001001,2829
2663260,Peck,Michigan,P001001,632
2663300,Pellston,Michigan,P001001,822
2663540,Pentwater,Michigan,P001001,857
2663660,Perrinton,Michigan,P001001,406
2663700,Perry,Michigan,P001001,2188
2663800,Petersburg,Michigan,P001001,1146
2663820,Petoskey,Michigan,P001001,5670
2663900,Pewamo,Michigan,P001001,469
2664020,Pierson,Michigan,P001001,172
2664060,Pigeon,Michigan,P001001,1208
2664100,Pilgrim,Michigan,P001001,11
2664140,Pinckney,Michigan,P001001,2427
2664160,Pinconning,Michigan,P001001,1307
2664740,Plainwell,Michigan,P001001,3804
2664900,Pleasant Ridge,Michigan,P001001,2526
2665060,Plymouth,Michigan,P001001,9132
2665420,Ponshewaing,Michigan,P001001,69
2665440,Pontiac,Michigan,P001001,59515
2665560,Portage,Michigan,P001001,46292
2665680,Port Austin,Michigan,P001001,664
2665800,Port Hope,Michigan,P001001,267
2665820,Port Huron,Michigan,P001001,30184
2665860,Portland,Michigan,P001001,3883
2665900,Port Sanilac,Michigan,P001001,623
2666000,Posen,Michigan,P001001,234
2666100,Potterville,Michigan,P001001,2617
2666140,Powers,Michigan,P001001,422
2666300,Prescott,Michigan,P001001,266
2666343,Presque Isle Harbor,Michigan,P001001,600
2666400,Prudenville,Michigan,P001001,1682
2666640,Quincy,Michigan,P001001,1652
2666720,Quinnesec,Michigan,P001001,1191
2667140,Rapid City,Michigan,P001001,1352
2667280,Ravenna,Michigan,P001001,1219
2667500,Reading,Michigan,P001001,1078
2667820,Reed City,Michigan,P001001,2425
2667900,Reese,Michigan,P001001,1454
2667980,Republic,Michigan,P001001,570
2668240,Richland,Michigan,P001001,751
2668380,Richmond,Michigan,P001001,5735
2668760,River Rouge,Michigan,P001001,7903
2668880,Riverview,Michigan,P001001,12486
2668990,Robin Glen-Indiantown,Michigan,P001001,722
2669020,Rochester,Michigan,P001001,12711
2669035,Rochester Hills,Michigan,P001001,70995
2669080,Rockford,Michigan,P001001,5719
2669180,Rockwood,Michigan,P001001,3289
2669260,Rogers City,Michigan,P001001,2827
2669400,Romeo,Michigan,P001001,3596
2669420,Romulus,Michigan,P001001,23989
2669520,Roosevelt Park,Michigan,P001001,3831
2669540,Roscommon,Michigan,P001001,1075
2669640,Rosebush,Michigan,P001001,368
2669680,Rose City,Michigan,P001001,653
2669800,Roseville,Michigan,P001001,47299
2669880,Rothbury,Michigan,P001001,432
2670040,Royal Oak,Michigan,P001001,57236
2670520,Saginaw,Michigan,P001001,51508
2670640,St. Charles,Michigan,P001001,2054
2670680,St. Clair,Michigan,P001001,5485
2670760,St. Clair Shores,Michigan,P001001,59715
2670800,St. Helen,Michigan,P001001,2668
2670840,St. Ignace,Michigan,P001001,2452
2670900,St. James,Michigan,P001001,205
2670940,St. Johns,Michigan,P001001,7865
2670960,St. Joseph,Michigan,P001001,8365
2671000,St. Louis,Michigan,P001001,7482
2671140,Saline,Michigan,P001001,8810
2671340,Sand Lake,Michigan,P001001,1412
2671360,Sand Lake,Michigan,P001001,500
2671540,Sandusky,Michigan,P001001,2679
2671560,Sanford,Michigan,P001001,859
2671660,Saranac,Michigan,P001001,1325
2671700,Saugatuck,Michigan,P001001,925
2671740,Sault Ste. Marie,Michigan,P001001,14144
2671860,Schoolcraft,Michigan,P001001,1525
2672080,Scottville,Michigan,P001001,1214
2672180,Sebewaing,Michigan,P001001,1759
2672840,Shelby,Michigan,P001001,2065
2672960,Shepherd,Michigan,P001001,1515
2673100,Sheridan,Michigan,P001001,649
2673420,Sherwood,Michigan,P001001,309
2673560,Shields,Michigan,P001001,6587
2673660,Shoreham,Michigan,P001001,862
2673730,Shorewood-Tower Hills-Harbert,Michigan,P001001,1344
2674200,Skidway Lake,Michigan,P001001,3392
2674380,Snover,Michigan,P001001,448
2674740,South Boardman,Michigan,P001001,536
2674900,Southfield,Michigan,P001001,71739
2674960,Southgate,Michigan,P001001,30047
2674975,South Gull Lake,Michigan,P001001,1182
2674980,South Haven,Michigan,P001001,4403
2675100,South Lyon,Michigan,P001001,11327
2675140,South Monroe,Michigan,P001001,6433
2675220,South Range,Michigan,P001001,758
2675280,South Rockwood,Michigan,P001001,1675
2675420,Sparta,Michigan,P001001,4140
2675620,Spring Arbor,Michigan,P001001,2881
2675700,Springfield,Michigan,P001001,5260
2675820,Spring Lake,Michigan,P001001,2323
2675860,Springport,Michigan,P001001,800
2676120,Standish,Michigan,P001001,1509
2676220,Stanton,Michigan,P001001,1417
2676240,Stanwood,Michigan,P001001,211
2676380,Stephenson,Michigan,P001001,862
2676420,Sterling,Michigan,P001001,530
2676460,Sterling Heights,Michigan,P001001,129699
2676500,Stevensville,Michigan,P001001,1142
2676560,Stockbridge,Michigan,P001001,1218
2676720,Stony Point,Michigan,P001001,1724
2676820,Stronach,Michigan,P001001,162
2676960,Sturgis,Michigan,P001001,10994
2677420,Sunfield,Michigan,P001001,578
2677600,Suttons Bay,Michigan,P001001,618
2677700,Swartz Creek,Michigan,P001001,5758
2677860,Sylvan Lake,Michigan,P001001,1720
2678140,Tawas City,Michigan,P001001,1827
2679000,Taylor,Michigan,P001001,63131
2679120,Tecumseh,Michigan,P001001,8521
2679160,Tekonsha,Michigan,P001001,717
2679240,Temperance,Michigan,P001001,8517
2679600,Thompsonville,Michigan,P001001,441
2679720,Three Oaks,Michigan,P001001,1622
2679760,Three Rivers,Michigan,P001001,7811
2680340,Traverse City,Michigan,P001001,14674
2680420,Trenton,Michigan,P001001,18853
2680660,Trowbridge Park,Michigan,P001001,2176
2680700,Troy,Michigan,P001001,80980
2680820,Turner,Michigan,P001001,114
2680960,Tustin,Michigan,P001001,230
2681020,Twining,Michigan,P001001,181
2681040,Twin Lake,Michigan,P001001,1720
2681200,Ubly,Michigan,P001001,858
2681360,Union City,Michigan,P001001,1599
2681420,Unionville,Michigan,P001001,508
2681540,Utica,Michigan,P001001,4757
2681680,Vandalia,Michigan,P001001,301
2681700,Vanderbilt,Michigan,P001001,562
2681740,Vandercook Lake,Michigan,P001001,4721
2681840,Vassar,Michigan,P001001,2697
2681960,Vermontville,Michigan,P001001,759
2682020,Vernon,Michigan,P001001,783
2682300,Vicksburg,Michigan,P001001,2906
2682450,Village of Clarkston,Michigan,P001001,882
2682453,Village of Grosse Pointe Shores,Michigan,P001001,3008
2682490,Vineyard Lake,Michigan,P001001,980
2682680,Wacousta,Michigan,P001001,1440
2682780,Wakefield,Michigan,P001001,1851
2682880,Waldron,Michigan,P001001,538
2682960,Walker,Michigan,P001001,23537
2683020,Walkerville,Michigan,P001001,247
2683060,Walled Lake,Michigan,P001001,6999
2683140,Walloon Lake,Michigan,P001001,290
2684000,Warren,Michigan,P001001,134056
2684360,Watersmeet,Michigan,P001001,428
2684500,Watervliet,Michigan,P001001,1735
2684800,Waverly,Michigan,P001001,23925
2684880,Wayland,Michigan,P001001,4079
2684940,Wayne,Michigan,P001001,17593
2685080,Webberville,Michigan,P001001,1272
2685110,Wedgewood,Michigan,P001001,237
2685140,Weidman,Michigan,P001001,959
2685300,Wellston,Michigan,P001001,311
2685580,West Branch,Michigan,P001001,2139
2685700,West Ishpeming,Michigan,P001001,2662
2686000,Westland,Michigan,P001001,84094
2686050,West Monroe,Michigan,P001001,3503
2686120,Westphalia,Michigan,P001001,923
2686380,Westwood,Michigan,P001001,8653
2686680,White Cloud,Michigan,P001001,1408
2686780,Whitehall,Michigan,P001001,2706
2686920,White Pigeon,Michigan,P001001,1522
2686960,White Pine,Michigan,P001001,474
2687060,Whitmore Lake,Michigan,P001001,6423
2687140,Whittemore,Michigan,P001001,384
2687420,Williamston,Michigan,P001001,3854
2688140,Wixom,Michigan,P001001,13498
2688220,Wolf Lake,Michigan,P001001,4104
2688240,Wolverine,Michigan,P001001,244
2688260,Wolverine Lake,Michigan,P001001,4312
2688380,Woodhaven,Michigan,P001001,12875
2688420,Woodland,Michigan,P001001,425
2688480,Woodland Beach,Michigan,P001001,2049
2688900,Wyandotte,Michigan,P001001,25883
2688940,Wyoming,Michigan,P001001,72125
2689000,Yale,Michigan,P001001,1955
2689140,Ypsilanti,Michigan,P001001,19435
2689240,Zeba,Michigan,P001001,480
2689260,Zeeland,Michigan,P001001,5504
2689320,Zilwaukee,Michigan,P001001,1658
2700172,Ada,Minnesota,P001001,1707
2700190,Adams,Minnesota,P001001,787
2700262,Adrian,Minnesota,P001001,1209
2700316,Afton,Minnesota,P001001,2886
2700460,Aitkin,Minnesota,P001001,2165
2700496,Akeley,Minnesota,P001001,432
2700622,Albany,Minnesota,P001001,2561
2700676,Alberta,Minnesota,P001001,103
2700694,Albert Lea,Minnesota,P001001,18016
2700730,Albertville,Minnesota,P001001,7044
2700838,Alden,Minnesota,P001001,661
2700892,Aldrich,Minnesota,P001001,48
2700928,Alexandria,Minnesota,P001001,11070
2701162,Alpha,Minnesota,P001001,116
2701234,Altura,Minnesota,P001001,493
2701252,Alvarado,Minnesota,P001001,363
2701324,Amboy,Minnesota,P001001,534
2701486,Andover,Minnesota,P001001,30598
2701558,Angle Inlet,Minnesota,P001001,60
2701684,Annandale,Minnesota,P001001,3228
2701720,Anoka,Minnesota,P001001,17142
2701864,Appleton,Minnesota,P001001,1412
2701900,Apple Valley,Minnesota,P001001,49084
2701972,Arco,Minnesota,P001001,75
2702026,Arden Hills,Minnesota,P001001,9552
2702134,Argyle,Minnesota,P001001,639
2702152,Arlington,Minnesota,P001001,2233
2702260,Arnold,Minnesota,P001001,2960
2702422,Ashby,Minnesota,P001001,446
2702548,Askov,Minnesota,P001001,364
2702692,Atwater,Minnesota,P001001,1133
2702728,Audubon,Minnesota,P001001,519
2702872,Aurora,Minnesota,P001001,1682
2702908,Austin,Minnesota,P001001,24718
2703052,Avoca,Minnesota,P001001,147
2703070,Avon,Minnesota,P001001,1396
2703106,Babbitt,Minnesota,P001001,1475
2703124,Backus,Minnesota,P001001,250
2703160,Badger,Minnesota,P001001,375
2703196,Bagley,Minnesota,P001001,1392
2703214,Baker,Minnesota,P001001,55
2703250,Balaton,Minnesota,P001001,643
2703376,Ball Club,Minnesota,P001001,342
2703574,Barnesville,Minnesota,P001001,2563
2703628,Barnum,Minnesota,P001001,613
2703682,Barrett,Minnesota,P001001,415
2703718,Barry,Minnesota,P001001,16
2703970,Battle Lake,Minnesota,P001001,875
2704024,Baudette,Minnesota,P001001,1106
2704042,Baxter,Minnesota,P001001,7610
2704114,Bayport,Minnesota,P001001,3471
2704204,Beardsley,Minnesota,P001001,233
2704348,Beaulieu,Minnesota,P001001,48
2704456,Beaver Bay,Minnesota,P001001,181
2704492,Beaver Creek,Minnesota,P001001,297
2704618,Becker,Minnesota,P001001,4538
2704672,Bejou,Minnesota,P001001,89
2704762,Belgrade,Minnesota,P001001,740
2704798,Bellechester,Minnesota,P001001,175
2704834,Belle Plaine,Minnesota,P001001,6661
2704960,Bellingham,Minnesota,P001001,168
2705014,Beltrami,Minnesota,P001001,107
2705050,Belview,Minnesota,P001001,384
2705068,Bemidji,Minnesota,P001001,13431
2705104,Bena,Minnesota,P001001,116
2705212,Benson,Minnesota,P001001,3240
2705482,Bertha,Minnesota,P001001,497
2705554,Bethel,Minnesota,P001001,466
2705644,Bigelow,Minnesota,P001001,235
2705680,Big Falls,Minnesota,P001001,236
2705698,Bigfork,Minnesota,P001001,446
2705744,Big Lake,Minnesota,P001001,443
2705752,Big Lake,Minnesota,P001001,10060
2705896,Bingham Lake,Minnesota,P001001,126
2706058,Birchwood Village,Minnesota,P001001,870
2706076,Bird Island,Minnesota,P001001,1042
2706112,Biscay,Minnesota,P001001,113
2706148,Biwabik,Minnesota,P001001,969
2706256,Blackduck,Minnesota,P001001,785
2706382,Blaine,Minnesota,P001001,57186
2706490,Blomkest,Minnesota,P001001,157
2706580,Blooming Prairie,Minnesota,P001001,1996
2706616,Bloomington,Minnesota,P001001,82893
2706688,Blue Earth,Minnesota,P001001,3353
2706778,Bluffton,Minnesota,P001001,207
2706814,Bock,Minnesota,P001001,106
2707030,Borup,Minnesota,P001001,110
2707048,Bovey,Minnesota,P001001,804
2707066,Bowlus,Minnesota,P001001,290
2707138,Boyd,Minnesota,P001001,175
2707174,Boy River,Minnesota,P001001,47
2707282,Braham,Minnesota,P001001,1793
2707300,Brainerd,Minnesota,P001001,13590
2707336,Brandon,Minnesota,P001001,489
2707462,Breckenridge,Minnesota,P001001,3386
2707516,Breezy Point,Minnesota,P001001,2346
2707660,Brewster,Minnesota,P001001,473
2707678,Bricelyn,Minnesota,P001001,365
2707948,Brooklyn Center,Minnesota,P001001,30104
2707966,Brooklyn Park,Minnesota,P001001,75781
2707984,Brook Park,Minnesota,P001001,139
2708038,Brooks,Minnesota,P001001,141
2708056,Brookston,Minnesota,P001001,141
2708092,Brooten,Minnesota,P001001,743
2708110,Browerville,Minnesota,P001001,790
2708164,Brownsdale,Minnesota,P001001,676
2708200,Browns Valley,Minnesota,P001001,589
2708218,Brownsville,Minnesota,P001001,466
2708254,Brownton,Minnesota,P001001,762
2708290,Bruno,Minnesota,P001001,102
2708416,Buckman,Minnesota,P001001,270
2708452,Buffalo,Minnesota,P001001,15453
2708488,Buffalo Lake,Minnesota,P001001,733
2708524,Buhl,Minnesota,P001001,1000
2708794,Burnsville,Minnesota,P001001,60306
2708902,Burtrum,Minnesota,P001001,144
2708992,Butterfield,Minnesota,P001001,586
2709154,Byron,Minnesota,P001001,4914
2709226,Caledonia,Minnesota,P001001,2868
2709280,Callaway,Minnesota,P001001,234
2709316,Calumet,Minnesota,P001001,367
2709370,Cambridge,Minnesota,P001001,8111
2709496,Campbell,Minnesota,P001001,158
2709604,Canby,Minnesota,P001001,1795
2709730,Cannon Falls,Minnesota,P001001,4083
2709802,Canton,Minnesota,P001001,346
2709964,Carlos,Minnesota,P001001,502
2710018,Carlton,Minnesota,P001001,862
2710144,Carver,Minnesota,P001001,3724
2710252,Cass Lake,Minnesota,P001001,770
2710468,Cedar Mills,Minnesota,P001001,45
2710576,Center City,Minnesota,P001001,628
2710648,Centerville,Minnesota,P001001,3792
2710792,Ceylon,Minnesota,P001001,369
2710846,Champlin,Minnesota,P001001,23089
2710900,Chandler,Minnesota,P001001,270
2710918,Chanhassen,Minnesota,P001001,22952
2710972,Chaska,Minnesota,P001001,23770
2711008,Chatfield,Minnesota,P001001,2779
2711296,Chickamaw Beach,Minnesota,P001001,114
2711350,Chisago City,Minnesota,P001001,4967
2711386,Chisholm,Minnesota,P001001,4976
2711440,Chokio,Minnesota,P001001,400
2711494,Circle Pines,Minnesota,P001001,4918
2711548,Clara City,Minnesota,P001001,1360
2711566,Claremont,Minnesota,P001001,548
2711602,Clarissa,Minnesota,P001001,681
2711656,Clarkfield,Minnesota,P001001,863
2711674,Clarks Grove,Minnesota,P001001,706
2711746,Clearbrook,Minnesota,P001001,518
2711764,Clear Lake,Minnesota,P001001,545
2711800,Clearwater,Minnesota,P001001,1735
2711836,Clements,Minnesota,P001001,153
2711872,Cleveland,Minnesota,P001001,719
2711962,Climax,Minnesota,P001001,267
2711980,Clinton,Minnesota,P001001,449
2712088,Clitherall,Minnesota,P001001,112
2712124,Clontarf,Minnesota,P001001,164
2712160,Cloquet,Minnesota,P001001,12124
2712376,Coates,Minnesota,P001001,161
2712394,Cobden,Minnesota,P001001,36
2712412,Cohasset,Minnesota,P001001,2698
2712430,Cokato,Minnesota,P001001,2694
2712484,Cold Spring,Minnesota,P001001,4025
2712502,Coleraine,Minnesota,P001001,1970
2712664,Cologne,Minnesota,P001001,1519
2712700,Columbia Heights,Minnesota,P001001,19496
2712718,Columbus,Minnesota,P001001,3914
2712772,Comfrey,Minnesota,P001001,382
2712862,Comstock,Minnesota,P001001,93
2712952,Conger,Minnesota,P001001,146
2713006,Cook,Minnesota,P001001,574
2713114,Coon Rapids,Minnesota,P001001,61476
2713168,Corcoran,Minnesota,P001001,5379
2713384,Correll,Minnesota,P001001,34
2713420,Cosmos,Minnesota,P001001,473
2713456,Cottage Grove,Minnesota,P001001,34589
2713564,Cottonwood,Minnesota,P001001,1212
2713582,Courtland,Minnesota,P001001,611
2713780,Cromwell,Minnesota,P001001,234
2713870,Crookston,Minnesota,P001001,7891
2713924,Crosby,Minnesota,P001001,2386
2713978,Crosslake,Minnesota,P001001,2141
2714158,Crystal,Minnesota,P001001,22151
2714320,Currie,Minnesota,P001001,233
2714428,Cuyuna,Minnesota,P001001,332
2714446,Cyrus,Minnesota,P001001,288
2714518,Dakota,Minnesota,P001001,323
2714626,Dalton,Minnesota,P001001,253
2714716,Danube,Minnesota,P001001,505
2714734,Danvers,Minnesota,P001001,97
2714770,Darfur,Minnesota,P001001,108
2714842,Darwin,Minnesota,P001001,350
2714878,Dassel,Minnesota,P001001,1469
2714968,Dawson,Minnesota,P001001,1540
2715022,Dayton,Minnesota,P001001,4671
2715148,Deephaven,Minnesota,P001001,3642
2715184,Deer Creek,Minnesota,P001001,322
2715310,Deer River,Minnesota,P001001,930
2715346,Deerwood,Minnesota,P001001,532
2715418,De Graff,Minnesota,P001001,115
2715454,Delano,Minnesota,P001001,5464
2715472,Delavan,Minnesota,P001001,179
2715544,Delhi,Minnesota,P001001,70
2715616,Dellwood,Minnesota,P001001,1063
2715670,Denham,Minnesota,P001001,35
2715706,Dennison,Minnesota,P001001,212
2715724,Dent,Minnesota,P001001,192
2715832,Detroit Lakes,Minnesota,P001001,8569
2715886,Dexter,Minnesota,P001001,341
2715976,Dilworth,Minnesota,P001001,4024
2715994,Dodge Center,Minnesota,P001001,2670
2716030,Donaldson,Minnesota,P001001,42
2716084,Donnelly,Minnesota,P001001,241
2716156,Doran,Minnesota,P001001,55
2716264,Dover,Minnesota,P001001,735
2716300,Dovray,Minnesota,P001001,57
2717000,Duluth,Minnesota,P001001,86265
2717090,Dumont,Minnesota,P001001,100
2717126,Dundas,Minnesota,P001001,1367
2717144,Dundee,Minnesota,P001001,68
2717180,Dunnell,Minnesota,P001001,167
2717288,Eagan,Minnesota,P001001,64206
2717342,Eagle Bend,Minnesota,P001001,535
2717378,Eagle Lake,Minnesota,P001001,2422
2717486,East Bethel,Minnesota,P001001,11626
2717612,East Grand Forks,Minnesota,P001001,8601
2717630,East Gull Lake,Minnesota,P001001,1004
2717738,Easton,Minnesota,P001001,199
2717882,Ebro,Minnesota,P001001,64
2717900,Echo,Minnesota,P001001,278
2718116,Eden Prairie,Minnesota,P001001,60797
2718134,Eden Valley,Minnesota,P001001,1042
2718152,Edgerton,Minnesota,P001001,1189
2718188,Edina,Minnesota,P001001,47941
2718260,Effie,Minnesota,P001001,123
2718368,Eitzen,Minnesota,P001001,243
2718386,Elba,Minnesota,P001001,152
2718440,Elbow Lake,Minnesota,P001001,95
2718458,Elbow Lake,Minnesota,P001001,1176
2718530,Elgin,Minnesota,P001001,1089
2718566,Elizabeth,Minnesota,P001001,173
2718662,Elko New Market,Minnesota,P001001,4110
2718674,Elk River,Minnesota,P001001,22974
2718728,Elkton,Minnesota,P001001,141
2718746,Ellendale,Minnesota,P001001,691
2718836,Ellsworth,Minnesota,P001001,463
2718872,Elmdale,Minnesota,P001001,116
2718998,Elmore,Minnesota,P001001,663
2719088,Elrosa,Minnesota,P001001,211
2719142,Ely,Minnesota,P001001,3460
2719160,Elysian,Minnesota,P001001,652
2719286,Emily,Minnesota,P001001,813
2719340,Emmons,Minnesota,P001001,391
2719556,Erhard,Minnesota,P001001,148
2719700,Erskine,Minnesota,P001001,503
2719718,Esko,Minnesota,P001001,1869
2719880,Evan,Minnesota,P001001,86
2719898,Evansville,Minnesota,P001001,612
2719934,Eveleth,Minnesota,P001001,3718
2720078,Excelsior,Minnesota,P001001,2188
2720114,Eyota,Minnesota,P001001,1977
2720222,Fairfax,Minnesota,P001001,1235
2720276,Fairhaven,Minnesota,P001001,358
2720330,Fairmont,Minnesota,P001001,10666
2720420,Falcon Heights,Minnesota,P001001,5321
2720546,Faribault,Minnesota,P001001,23352
2720618,Farmington,Minnesota,P001001,21086
2720690,Farwell,Minnesota,P001001,51
2720798,Federal Dam,Minnesota,P001001,110
2720834,Felton,Minnesota,P001001,177
2720906,Fergus Falls,Minnesota,P001001,13138
2720978,Fertile,Minnesota,P001001,842
2721032,Fifty Lakes,Minnesota,P001001,387
2721104,Finland,Minnesota,P001001,195
2721122,Finlayson,Minnesota,P001001,315
2721158,Fisher,Minnesota,P001001,435
2721190,Fish Lake,Minnesota,P001001,51
2721266,Flensburg,Minnesota,P001001,225
2721338,Floodwood,Minnesota,P001001,528
2721410,Florence,Minnesota,P001001,39
2721536,Foley,Minnesota,P001001,2603
2721608,Forada,Minnesota,P001001,185
2721770,Forest Lake,Minnesota,P001001,18375
2721824,Foreston,Minnesota,P001001,533
2721932,Fort Ripley,Minnesota,P001001,69
2721986,Fosston,Minnesota,P001001,1527
2722094,Fountain,Minnesota,P001001,410
2722202,Foxhome,Minnesota,P001001,116
2722364,Franklin,Minnesota,P001001,510
2722472,Frazee,Minnesota,P001001,1350
2722526,Freeborn,Minnesota,P001001,297
2722652,Freeport,Minnesota,P001001,632
2722814,Fridley,Minnesota,P001001,27208
2722904,Frontenac,Minnesota,P001001,282
2722940,Frost,Minnesota,P001001,198
2722958,Fulda,Minnesota,P001001,1318
2722976,Funkley,Minnesota,P001001,5
2723084,Garden City,Minnesota,P001001,255
2723120,Garfield,Minnesota,P001001,354
2723192,Garrison,Minnesota,P001001,210
2723228,Garvin,Minnesota,P001001,135
2723246,Gary,Minnesota,P001001,214
2723300,Gaylord,Minnesota,P001001,2305
