Real Property Class,Year of Year,County Name,Municipality,Re Class Name2,Assessed Value
Residential,2018,GREEN,23101 ALBANY (V),Residential,43273600
Residential,2018,MANITOWOC,36151 MISHICOT (V),Residential,65869300
Residential,2018,OUTAGAMIE,44181 SHIOCTON (V),Residential,30457900
Residential,2018,POLK,48168 TURTLE LAKE (V),Residential,1514700
Residential,2018,PRICE,50141 KENNAN (V),Residential,4100800
Residential,2018,PRICE,50171 PRENTICE (V),Residential,15542700
Residential,2018,JACKSON,27136 HIXTON (V),Residential,14687350
Residential,2018,PIERCE,47181 SPRING VALLEY (V),Residential,54555500
Residential,2018,POLK,48165 OSCEOLA (V),Residential,102399000
Residential,2018,GREEN,23109 BROOKLYN (V),Residential,21417800
Residential,2018,OUTAGAMIE,44146 LITTLE CHUTE (V),Residential,473862100
Residential,2018,POLK,48151 MILLTOWN (V),Residential,26127300
Residential,2003,GRANT,22107 BLOOMINGTON (V),Residential,13369190
Residential,2003,GREEN,23109 BROOKLYN (V),Residential,15099000
Residential,2003,MARATHON,37121 EDGAR (V),Residential,41085400
Residential,2003,DOUGLAS,16146 LAKE NEBAGAMON (V),Residential,93518100
Residential,2003,DUNN,17141 KNAPP (V),Residential,8712500
Residential,2003,FOND DU LAC,20106 BRANDON (V),Residential,23327800
Residential,2003,GREEN,23106 BELLEVILLE (V),Residential,6377100
Residential,2003,IOWA,25151 MONTFORT (V),Residential,2168200
Residential,2003,IOWA,25137 HOLLANDALE (V),Residential,9047100
Residential,2003,LAFAYETTE,33108 BLANCHARDVILLE (V),Residential,19132700
Residential,2003,LAFAYETTE,33131 GRATIOT (V),Residential,5087000
Residential,2003,MANITOWOC,36132 KELLNERSVILLE (V),Residential,8925500
Residential,2003,DOUGLAS,16165 OLIVER (V),Residential,9462075
Residential,2003,GRANT,22106 BAGLEY (V),Residential,11041450
Residential,2003,JEFFERSON,28171 PALMYRA (V),Residential,65711600
Residential,2003,MARATHON,37181 SPENCER (V),Residential,49100000
Residential,2003,MARATHON,37186 UNITY (V),Residential,4396900
Residential,2003,DUNN,17191 WHEELER (V),Residential,4041800
Residential,2003,GRANT,22151 MONTFORT (V),Residential,10780900
Residential,2003,GREEN LAKE,24154 MARQUETTE (V),Residential,7518900
Residential,2003,JEFFERSON,28141 JOHNSON CREEK (V),Residential,55920200
Residential,2003,LAFAYETTE,33107 BENTON (V),Residential,20309800
Residential,2003,MANITOWOC,36126 FRANCIS CREEK (V),Residential,25315400
Residential,2003,MANITOWOC,36147 MARIBEL (V),Residential,10081250
Residential,2003,MARATHON,37182 STRATFORD (V),Residential,35403290
Residential,2003,GRANT,22147 LIVINGSTON (V),Residential,16120300
Residential,2003,GREEN,23110 BROWNTOWN (V),Residential,5936800
Residential,2003,LAFAYETTE,33106 BELMONT (V),Residential,26350400
Residential,2003,DUNN,17176 RIDGELAND (V),Residential,4545300
Residential,2003,GREEN LAKE,24141 KINGSTON (V),Residential,8287100
Residential,2003,IOWA,25146 LINDEN (V),Residential,13437600
Residential,2003,MARATHON,37192 WESTON (V),Residential,393394300
Residential,2003,EAU CLAIRE,18127 FALL CREEK (V),Residential,43553550
Residential,2003,JEFFERSON,28181 SULLIVAN (V),Residential,23592300
Residential,2003,KEWAUNEE,31111 CASCO (V),Residential,19648100
Residential,2003,LAFAYETTE,33101 ARGYLE (V),Residential,21670000
Residential,2003,MANITOWOC,36181 SAINT NAZIANZ (V),Residential,22309900
Residential,2003,MARATHON,37104 BIRNAMWOOD (V),Residential,548243
Residential,2003,GRANT,22136 HAZEL GREEN (V),Residential,28241300
Residential,2003,GRANT,22116 DICKEYVILLE (V),Residential,36315000
Residential,2003,GRANT,22111 CASSVILLE (V),Residential,25858100
Residential,2003,JUNEAU,29111 CAMP DOUGLAS (V),Residential,10205300
Residential,2003,MARATHON,37106 BROKAW (V),Residential,3128700
Residential,2003,MARATHON,37116 DORCHESTER (V),Residential,39000
Residential,2003,JEFFERSON,28146 LAC LA BELLE (V),Residential,0
Residential,2003,KENOSHA,30171 PADDOCK LAKE (V),Residential,143433300
Residential,2003,LAFAYETTE,33136 HAZEL GREEN (V),Residential,672700
Residential,2003,MANITOWOC,36151 MISHICOT (V),Residential,58578200
Residential,2003,GRANT,22108 BLUE RIVER (V),Residential,9659000
Residential,2003,DOUGLAS,16181 SOLON SPRINGS (V),Residential,29803500
Residential,2003,MARATHON,37126 FENWOOD (V),Residential,3624700
Residential,2003,DOUGLAS,16171 POPLAR (V),Residential,11261900
Residential,2003,IOWA,25177 RIDGEWAY (V),Residential,19766100
Residential,2003,IOWA,25176 REWEY (V),Residential,3550600
Residential,2003,DUNN,17116 DOWNING (V),Residential,5635600
Residential,2003,KENOSHA,30131 GENOA CITY (V),Residential,0
Residential,2003,MARATHON,37122 ELDERON (V),Residential,4306100
Residential,2003,EAU CLAIRE,18126 FAIRCHILD (V),Residential,6738200
Residential,2003,GREEN,23101 ALBANY (V),Residential,32825500
Residential,2003,IOWA,25147 LIVINGSTON (V),Residential,213500
Residential,2003,KENOSHA,30186 TWIN LAKES (V),Residential,462419700
Residential,2003,MANITOWOC,36176 REEDSVILLE (V),Residential,35308800
Residential,2003,COLUMBIA,11176 RANDOLPH (V),Residential,15030900
Residential,2003,BROWN,05116 DENMARK (V),Residential,55093000
Residential,2003,BARRON,03151 NEW AUBURN (V),Residential,542000
Residential,2003,BROWN,05126 HOBART (V),Residential,359173400
Residential,2003,DANE,13181 SHOREWOOD HILLS (V),Residential,248189800
Residential,2003,DODGE,14177 REESEVILLE (V),Residential,16179400
Residential,2003,COLUMBIA,11177 RIO (V),Residential,38611400
Residential,2003,DODGE,14186 THERESA (V),Residential,28597700
Residential,2003,BUFFALO,06111 COCHRANE (V),Residential,12220300
Residential,2003,DOOR,15118 EGG HARBOR (V),Residential,151732500
Residential,2004,BROWN,05116 DENMARK (V),Residential,56492100
Residential,2004,BROWN,05106 BELLEVUE (V),Residential,510180400
Residential,2004,COLUMBIA,11176 RANDOLPH (V),Residential,15060800
Residential,2004,BARRON,03151 NEW AUBURN (V),Residential,542000
Residential,2004,COLUMBIA,11177 RIO (V),Residential,41112000
Residential,2004,DOOR,15118 EGG HARBOR (V),Residential,250348100
Residential,2004,DANE,13181 SHOREWOOD HILLS (V),Residential,250626200
Residential,2004,BUFFALO,06111 COCHRANE (V),Residential,12277000
Residential,2004,DODGE,14186 THERESA (V),Residential,29975400
Residential,2004,DODGE,14177 REESEVILLE (V),Residential,16202200
Residential,2004,DANE,13151 MAPLE BLUFF (V),Residential,284677200
Residential,2005,BROWN,05116 DENMARK (V),Residential,60052500
Residential,2005,COLUMBIA,11176 RANDOLPH (V),Residential,15002700
Residential,2005,BARRON,03151 NEW AUBURN (V),Residential,551500
Residential,2005,BROWN,05106 BELLEVUE (V),Residential,539316900
Residential,2005,COLUMBIA,11177 RIO (V),Residential,41034500
Residential,2005,BUFFALO,06111 COCHRANE (V),Residential,12270900
Residential,2005,DOOR,15118 EGG HARBOR (V),Residential,255854500
Residential,2005,DANE,13181 SHOREWOOD HILLS (V),Residential,252117000
Residential,2005,DANE,13151 MAPLE BLUFF (V),Residential,286001300
Residential,2005,DODGE,14177 REESEVILLE (V),Residential,16573300
Residential,2005,DODGE,14186 THERESA (V),Residential,43395600
Residential,2006,BROWN,05106 BELLEVUE (V),Residential,559562300
Residential,2006,BROWN,05116 DENMARK (V),Residential,64604300
Residential,2006,COLUMBIA,11176 RANDOLPH (V),Residential,18545600
Residential,2006,COLUMBIA,11177 RIO (V),Residential,41909200
Residential,2006,BARRON,03151 NEW AUBURN (V),Residential,588000
Residential,2006,DANE,13151 MAPLE BLUFF (V),Residential,289306900
Residential,2006,DOOR,15118 EGG HARBOR (V),Residential,262122400
Residential,2006,BUFFALO,06111 COCHRANE (V),Residential,16708200
Residential,2006,DODGE,14177 REESEVILLE (V),Residential,22478300
Residential,2006,DANE,13181 SHOREWOOD HILLS (V),Residential,379962550
Residential,2007,BUFFALO,06111 COCHRANE (V),Residential,16731500
Residential,2003,POLK,48028 JOHNSTOWN (T),Residential,57408700
Residential,2003,POLK,48030 LAKETOWN (T),Residential,37594100
Residential,2003,POLK,48032 LINCOLN (T),Residential,188595600
Residential,2003,POLK,48034 LORAIN (T),Residential,8537900
Residential,2003,POLK,48036 LUCK (T),Residential,28271500
Residential,2003,POLK,48038 MCKINLEY (T),Residential,11631200
Residential,2003,POLK,48040 MILLTOWN (T),Residential,140945700
Residential,2003,POLK,48042 OSCEOLA (T),Residential,138259600
Residential,2003,POLK,48044 SAINT CROIX FALLS (T),Residential,57219300
Residential,2003,POLK,48046 STERLING (T),Residential,21048200
Residential,2003,POLK,48048 WEST SWEDEN (T),Residential,24468900
Residential,2003,PORTAGE,49002 ALBAN (T),Residential,39994600
Residential,2003,PORTAGE,49004 ALMOND (T),Residential,19743600
Residential,2003,PORTAGE,49006 AMHERST (T),Residential,60141200
Residential,2003,PORTAGE,49008 BELMONT (T),Residential,21126300
Residential,2003,PORTAGE,49010 BUENA VISTA (T),Residential,37281100
Residential,2003,PORTAGE,49012 CARSON (T),Residential,53197300
Residential,2003,PORTAGE,49014 DEWEY (T),Residential,47964300
Residential,2003,PORTAGE,49016 EAU PLEINE (T),Residential,36834600
Residential,2003,PORTAGE,49018 GRANT (T),Residential,61401100
Residential,2003,PORTAGE,49020 HULL (T),Residential,219089600
Residential,2003,PORTAGE,49022 LANARK (T),Residential,67575100
Residential,2003,PORTAGE,49024 LINWOOD (T),Residential,50027700
Residential,2003,PORTAGE,49026 NEW HOPE (T),Residential,36464900
Residential,2003,PORTAGE,49028 PINE GROVE (T),Residential,15704700
Residential,2003,PORTAGE,49030 PLOVER (T),Residential,100238000
Residential,2003,PORTAGE,49032 SHARON (T),Residential,68764800
Residential,2003,PORTAGE,49034 STOCKTON (T),Residential,127265500
Residential,2003,PRICE,50002 CATAWBA (T),Residential,6917400
Residential,2003,PRICE,50004 EISENSTEIN (T),Residential,28510200
Residential,2003,PRICE,50006 ELK (T),Residential,80097700
Residential,2003,PRICE,50008 EMERY (T),Residential,10120800
Residential,2003,PRICE,50010 FIFIELD (T),Residential,101237300
Residential,2003,PRICE,50012 FLAMBEAU (T),Residential,30335500
Residential,2003,PRICE,50014 GEORGETOWN (T),Residential,2659100
Residential,2003,PRICE,50016 HACKETT (T),Residential,4846150
Residential,2003,PRICE,50018 HARMONY (T),Residential,7352300
Residential,2003,PRICE,50020 HILL (T),Residential,13360200
Residential,2003,PRICE,50022 KENNAN (T),Residential,5497200
Residential,2003,PRICE,50024 KNOX (T),Residential,7140250
Residential,2003,PRICE,50026 LAKE (T),Residential,77763300
Residential,2003,PRICE,50028 OGEMA (T),Residential,21137900
Residential,2003,PRICE,50030 PRENTICE (T),Residential,7792500
Residential,2003,PRICE,50032 SPIRIT (T),Residential,11957300
Residential,2003,PRICE,50034 WORCESTER (T),Residential,79308300
Residential,2003,RACINE,51002 BURLINGTON (T),Residential,386414200
Residential,2003,RACINE,51004 CALEDONIA (T),Residential,1312669900
Residential,2003,RACINE,51006 DOVER (T),Residential,157858200
Residential,2003,RACINE,51008 MOUNT PLEASANT (T),Residential,1328783200
Residential,2003,RACINE,51010 NORWAY (T),Residential,560701360
Residential,2003,RACINE,51012 RAYMOND (T),Residential,204700730
Residential,2003,RACINE,51014 ROCHESTER (T),Residential,140083500
Residential,2003,RACINE,51016 WATERFORD (T),Residential,416586850
Residential,2003,RACINE,51018 YORKVILLE (T),Residential,148677700
Residential,2003,RICHLAND,52002 AKAN (T),Residential,3972550
Residential,2003,RICHLAND,52004 BLOOM (T),Residential,6436700
Residential,2003,RICHLAND,52006 BUENA VISTA (T),Residential,48687800
Residential,2003,RICHLAND,52008 DAYTON (T),Residential,15232700
Residential,2003,RICHLAND,52010 EAGLE (T),Residential,10756570
Residential,2003,RICHLAND,52012 FOREST (T),Residential,3749400
Residential,2003,RICHLAND,52014 HENRIETTA (T),Residential,7928100
Residential,2003,RICHLAND,52016 ITHACA (T),Residential,15005480
Residential,2003,RICHLAND,52018 MARSHALL (T),Residential,10046900
Residential,2003,RICHLAND,52020 ORION (T),Residential,16514400
Residential,2003,RICHLAND,52022 RICHLAND (T),Residential,36584450
Residential,2003,RICHLAND,52024 RICHWOOD (T),Residential,11625100
Residential,2003,RICHLAND,52026 ROCKBRIDGE (T),Residential,14276300
Residential,2003,RICHLAND,52028 SYLVAN (T),Residential,5134170
Residential,2003,RICHLAND,52030 WESTFORD (T),Residential,6403600
Residential,2003,RICHLAND,52032 WILLOW (T),Residential,7937130
Residential,2003,ROCK,53002 AVON (T),Residential,17135600
Residential,2003,ROCK,53004 BELOIT (T),Residential,224370400
Residential,2003,ROCK,53006 BRADFORD (T),Residential,28482300
Residential,2003,ROCK,53008 CENTER (T),Residential,33099600
Residential,2003,ROCK,53010 CLINTON (T),Residential,29625700
Residential,2003,ROCK,53012 FULTON (T),Residential,220258750
Residential,2003,ROCK,53014 HARMONY (T),Residential,126351505
Residential,2003,ROCK,53016 JANESVILLE (T),Residential,220056300
Residential,2003,ROCK,53018 JOHNSTOWN (T),Residential,30444350
Residential,2003,ROCK,53020 LAPRAIRIE (T),Residential,26345000
Residential,2003,ROCK,53022 LIMA (T),Residential,46433100
Residential,2003,ROCK,53024 MAGNOLIA (T),Residential,16017700
Residential,2003,ROCK,53026 MILTON (T),Residential,157957750
Residential,2003,ROCK,53028 NEWARK (T),Residential,44826500
Residential,2003,ROCK,53030 PLYMOUTH (T),Residential,41499850
Residential,2003,ROCK,53032 PORTER (T),Residential,39278650
Residential,2003,ROCK,53034 ROCK (T),Residential,89865300
Residential,2003,ROCK,53036 SPRING VALLEY (T),Residential,23952100
Residential,2003,ROCK,53038 TURTLE (T),Residential,117972200
Residential,2003,ROCK,53040 UNION (T),Residential,91050100
Residential,2003,RUSK,54002 ATLANTA (T),Residential,15258100
Residential,2003,RUSK,54004 BIG BEND (T),Residential,58031230
Residential,2003,RUSK,54006 BIG FALLS (T),Residential,1964515
Residential,2003,RUSK,54008 CEDAR RAPIDS (T),Residential,884700
Residential,2003,RUSK,54010 DEWEY (T),Residential,34743400
Residential,2003,RUSK,54012 FLAMBEAU (T),Residential,27313000
Residential,2003,RUSK,54014 GRANT (T),Residential,19268200
Residential,2003,RUSK,54016 GROW (T),Residential,4518200
Residential,2003,RUSK,54018 HAWKINS (T),Residential,3151300
Residential,2003,RUSK,54020 HUBBARD (T),Residential,3350000
Residential,2003,RUSK,54022 LAWRENCE (T),Residential,3939800
Residential,2003,RUSK,54024 MARSHALL (T),Residential,5634230
Residential,2003,RUSK,54026 MURRY (T),Residential,5213900
Residential,2003,RUSK,54028 RICHLAND (T),Residential,6268700
Residential,2003,RUSK,54030 RUSK (T),Residential,42965300
Residential,2003,RUSK,54032 SOUTH FORK (T),Residential,3496600
Residential,2003,RUSK,54034 STRICKLAND (T),Residential,4907930
Residential,2003,RUSK,54036 STUBBS (T),Residential,19934765
Residential,2003,RUSK,54038 THORNAPPLE (T),Residential,18593800
Residential,2003,RUSK,54040 TRUE (T),Residential,4272500
Residential,2003,RUSK,54042 WASHINGTON (T),Residential,22903500
Residential,2003,RUSK,54044 WILKINSON (T),Residential,1340000
Residential,2003,RUSK,54046 WILLARD (T),Residential,32835700
Residential,2003,RUSK,54048 WILSON (T),Residential,1992400
Residential,2003,ST CROIX,55002 BALDWIN (T),Residential,26790000
Residential,2003,ST CROIX,55004 CADY (T),Residential,16144100
Residential,2003,ST CROIX,55006 CYLON (T),Residential,23900300
Residential,2003,ST CROIX,55008 EAU GALLE (T),Residential,45595200
Residential,2003,ST CROIX,55010 EMERALD (T),Residential,16137400
Residential,2003,ST CROIX,55012 ERIN PRAIRIE (T),Residential,28486200
Residential,2003,ST CROIX,55014 FOREST (T),Residential,9079500
Residential,2003,ST CROIX,55016 GLENWOOD (T),Residential,27712300
Residential,2003,ST CROIX,55018 HAMMOND (T),Residential,73332600
Residential,2003,ST CROIX,55020 HUDSON (T),Residential,498509250
Residential,2003,ST CROIX,55022 KINNICKINNIC (T),Residential,99038900
Residential,2003,ST CROIX,55024 PLEASANT VALLEY (T),Residential,18866400
Residential,2003,ST CROIX,55026 RICHMOND (T),Residential,121313300
Residential,2003,ST CROIX,55028 RUSH RIVER (T),Residential,15549900
Residential,2003,ST CROIX,55030 SAINT JOSEPH (T),Residential,268121800
Residential,2003,ST CROIX,55032 SOMERSET (T),Residential,239250100
Residential,2003,ST CROIX,55034 SPRINGFIELD (T),Residential,26817675
Residential,2003,ST CROIX,55036 STANTON (T),Residential,46581400
Residential,2003,ST CROIX,55038 STAR PRAIRIE (T),Residential,146893150
Residential,2003,ST CROIX,55040 TROY (T),Residential,443915320
Residential,2003,ST CROIX,55042 WARREN (T),Residential,89287200
Residential,2003,SAUK,56002 BARABOO (T),Residential,85218800
Residential,2003,SAUK,56004 BEAR CREEK (T),Residential,17459000
Residential,2003,SAUK,56006 DELLONA (T),Residential,73672200
Residential,2003,SAUK,56008 DELTON (T),Residential,85971200
Residential,2003,SAUK,56010 EXCELSIOR (T),Residential,71974600
Residential,2003,SAUK,56012 FAIRFIELD (T),Residential,43886400
Residential,2003,SAUK,56014 FRANKLIN (T),Residential,19389600
Residential,2003,SAUK,56016 FREEDOM (T),Residential,18890900
Residential,2003,SAUK,56018 GREENFIELD (T),Residential,58676100
Residential,2003,SAUK,56020 HONEY CREEK (T),Residential,26207800
Residential,2003,SAUK,56022 IRONTON (T),Residential,7914800
Residential,2003,SAUK,56024 LA VALLE (T),Residential,154692900
Residential,2003,SAUK,56026 MERRIMAC (T),Residential,129642200
Residential,2003,SAUK,56028 PRAIRIE DU SAC (T),Residential,70222400
Residential,2003,SAUK,56030 REEDSBURG (T),Residential,42099500
Residential,2003,SAUK,56032 SPRING GREEN (T),Residential,95945800
Residential,2003,SAUK,56034 SUMPTER (T),Residential,23477200
Residential,2003,SAUK,56036 TROY (T),Residential,26477900
Residential,2003,SAUK,56038 WASHINGTON (T),Residential,16405800
Residential,2003,SAUK,56040 WESTFIELD (T),Residential,6455400
Residential,2003,SAUK,56042 WINFIELD (T),Residential,33844200
Residential,2003,SAUK,56044 WOODLAND (T),Residential,25896200
Residential,2003,SAWYER,57002 BASS LAKE (T),Residential,268878000
Residential,2003,SAWYER,57004 COUDERAY (T),Residential,8082770
Residential,2003,SAWYER,57006 DRAPER (T),Residential,16123500
Residential,2003,SAWYER,57008 EDGEWATER (T),Residential,84143300
Residential,2003,SAWYER,57010 HAYWARD (T),Residential,318135800
Residential,2003,SAWYER,57012 HUNTER (T),Residential,111847000
Residential,2003,SAWYER,57014 LENROOT (T),Residential,108029800
Residential,2003,SAWYER,57016 MEADOWBROOK (T),Residential,3478300
Residential,2003,SAWYER,57018 METEOR (T),Residential,4657100
Residential,2003,SAWYER,57020 OJIBWA (T),Residential,17320700
Residential,2003,SAWYER,57022 RADISSON (T),Residential,16207700
Residential,2003,SAWYER,57024 ROUND LAKE (T),Residential,156937000
Residential,2003,SAWYER,57026 SAND LAKE (T),Residential,158366400
Residential,2003,SAWYER,57028 SPIDER LAKE (T),Residential,135911600
Residential,2003,SAWYER,57030 WEIRGOR (T),Residential,9070600
Residential,2003,SAWYER,57032 WINTER (T),Residential,101030200
Residential,2003,SHAWANO,58002 ALMON (T),Residential,12990500
Residential,2003,SHAWANO,58004 ANGELICA (T),Residential,54460700
Residential,2003,SHAWANO,58006 ANIWA (T),Residential,15169200
Residential,2003,SHAWANO,58008 BARTELME (T),Residential,2300900
Residential,2003,SHAWANO,58010 BELLE PLAINE (T),Residential,113834300
Residential,2003,SHAWANO,58012 BIRNAMWOOD (T),Residential,18477900
Residential,2003,SHAWANO,58014 FAIRBANKS (T),Residential,13621900
Residential,2003,SHAWANO,58016 GERMANIA (T),Residential,10794900
Residential,2003,SHAWANO,58018 GRANT (T),Residential,24502600
Residential,2003,SHAWANO,58020 GREEN VALLEY (T),Residential,26991100
Residential,2003,SHAWANO,58022 HARTLAND (T),Residential,19782200
Residential,2003,SHAWANO,58024 HERMAN (T),Residential,14674700
Residential,2003,SHAWANO,58026 HUTCHINS (T),Residential,8390200
Residential,2003,SHAWANO,58028 LESSOR (T),Residential,34342700
Residential,2003,SHAWANO,58030 MAPLE GROVE (T),Residential,22486300
Residential,2003,SHAWANO,58032 MORRIS (T),Residential,15948700
Residential,2003,SHAWANO,58034 NAVARINO (T),Residential,14055600
Residential,2003,SHAWANO,58036 PELLA (T),Residential,28613800
Residential,2003,SHAWANO,58038 RED SPRINGS (T),Residential,30434300
Residential,2003,SHAWANO,58040 RICHMOND (T),Residential,71803500
Residential,2003,SHAWANO,58042 SENECA (T),Residential,12337800
Residential,2003,SHAWANO,58044 WASHINGTON (T),Residential,110275300
Residential,2003,SHAWANO,58046 WAUKECHON (T),Residential,31075600
Residential,2003,SHAWANO,58048 WESCOTT (T),Residential,265126500
Residential,2003,SHAWANO,58050 WITTENBERG (T),Residential,24914700
Residential,2003,SHEBOYGAN,59002 GREENBUSH (T),Residential,81189000
Residential,2003,SHEBOYGAN,59004 HERMAN (T),Residential,55066600
Residential,2003,SHEBOYGAN,59006 HOLLAND (T),Residential,222650150
Residential,2003,SHEBOYGAN,59008 LIMA (T),Residential,109134050
Residential,2003,SHEBOYGAN,59010 LYNDON (T),Residential,64125400
Residential,2003,SHEBOYGAN,59012 MITCHELL (T),Residential,59415700
Residential,2003,SHEBOYGAN,59014 MOSEL (T),Residential,34219550
Residential,2003,SHEBOYGAN,59016 PLYMOUTH (T),Residential,157184100
Residential,2003,SHEBOYGAN,59018 RHINE (T),Residential,171353250
Residential,2003,SHEBOYGAN,59020 RUSSELL (T),Residential,11717600
Residential,2003,SHEBOYGAN,59022 SCOTT (T),Residential,71526800
Residential,2003,SHEBOYGAN,59024 SHEBOYGAN (T),Residential,378268600
Residential,2003,SHEBOYGAN,59026 SHEBOYGAN FALLS (T),Residential,53365800
Residential,2003,SHEBOYGAN,59028 SHERMAN (T),Residential,76170200
Residential,2003,SHEBOYGAN,59030 WILSON (T),Residential,232318500
Residential,2003,TAYLOR,60002 AURORA (T),Residential,4061700
Residential,2003,TAYLOR,60004 BROWNING (T),Residential,17973800
Residential,2003,TAYLOR,60006 CHELSEA (T),Residential,23865300
Residential,2003,TAYLOR,60008 CLEVELAND (T),Residential,7366500
Residential,2003,TAYLOR,60010 DEER CREEK (T),Residential,14532100
Residential,2003,TAYLOR,60012 FORD (T),Residential,4243400
Residential,2003,TAYLOR,60014 GOODRICH (T),Residential,11528900
Residential,2003,TAYLOR,60016 GREENWOOD (T),Residential,11728100
Residential,2003,TAYLOR,60018 GROVER (T),Residential,12114700
Residential,2003,TAYLOR,60020 HAMMEL (T),Residential,26485000
Residential,2003,TAYLOR,60022 HOLWAY (T),Residential,14435400
Residential,2003,TAYLOR,60024 JUMP RIVER (T),Residential,5415750
Residential,2003,TAYLOR,60026 LITTLE BLACK (T),Residential,32278200
Residential,2003,TAYLOR,60028 MAPLEHURST (T),Residential,5657600
Residential,2003,TAYLOR,60030 MCKINLEY (T),Residential,6635600
Residential,2003,TAYLOR,60032 MEDFORD (T),Residential,91082300
Residential,2003,TAYLOR,60034 MOLITOR (T),Residential,18876300
Residential,2003,TAYLOR,60036 PERSHING (T),Residential,2350000
Residential,2003,TAYLOR,60038 RIB LAKE (T),Residential,28214800
Residential,2003,TAYLOR,60040 ROOSEVELT (T),Residential,7114400
Residential,2003,TAYLOR,60042 TAFT (T),Residential,5275500
Residential,2003,TAYLOR,60044 WESTBORO (T),Residential,14434300
Residential,2003,TREMPEALEAU,61002 ALBION (T),Residential,10362100
Residential,2003,TREMPEALEAU,61004 ARCADIA (T),Residential,35433100
Residential,2003,TREMPEALEAU,61006 BURNSIDE (T),Residential,6330000
Residential,2003,TREMPEALEAU,61008 CALEDONIA (T),Residential,25872850
Residential,2003,TREMPEALEAU,61010 CHIMNEY ROCK (T),Residential,3021200
Residential,2003,TREMPEALEAU,61012 DODGE (T),Residential,7121000
Residential,2003,TREMPEALEAU,61014 ETTRICK (T),Residential,35201225
Residential,2003,TREMPEALEAU,61016 GALE (T),Residential,44338700
Residential,2003,TREMPEALEAU,61018 HALE (T),Residential,17176650
Residential,2003,TREMPEALEAU,61020 LINCOLN (T),Residential,11087500
Residential,2003,TREMPEALEAU,61022 PIGEON (T),Residential,7761600
Residential,2003,TREMPEALEAU,61024 PRESTON (T),Residential,9290100
Residential,2003,TREMPEALEAU,61026 SUMNER (T),Residential,20890400
Residential,2003,TREMPEALEAU,61028 TREMPEALEAU (T),Residential,51258700
Residential,2003,TREMPEALEAU,61030 UNITY (T),Residential,16119000
Residential,2003,VERNON,62002 BERGEN (T),Residential,45119850
Residential,2003,VERNON,62004 CHRISTIANA (T),Residential,13794400
Residential,2003,VERNON,62006 CLINTON (T),Residential,4340510
Residential,2003,VERNON,62008 COON (T),Residential,7879200
Residential,2003,LINCOLN,35016 PINE RIVER (T),Residential,65507400
Residential,2003,MARATHON,37074 SPENCER (T),Residential,54662600
Residential,2003,BUFFALO,06030 NAPLES (T),Residential,8474400
Residential,2003,CHIPPEWA,09032 HOWARD (T),Residential,19956500
Residential,2003,BURNETT,07028 SCOTT (T),Residential,105776000
Residential,2003,DANE,13060 VERMONT (T),Residential,56937800
Residential,2003,GRANT,22062 WINGVILLE (T),Residential,3066440
Residential,2003,MARINETTE,38002 AMBERG (T),Residential,36478523
Residential,2003,CLARK,10006 COLBY (T),Residential,10322200
Residential,2003,DANE,13044 PERRY (T),Residential,22185700
Residential,2003,GRANT,22008 CASSVILLE (T),Residential,5329300
Residential,2003,IRON,26002 ANDERSON (T),Residential,7075400
Residential,2003,MARATHON,37076 STETTIN (T),Residential,117308000
Residential,2003,BARRON,03004 ARLAND (T),Residential,12813100
Residential,2003,DANE,13062 VERONA (T),Residential,154991950
Residential,2003,LA CROSSE,32008 CAMPBELL (T),Residential,160407900
Residential,2003,ADAMS,01020 NEW CHESTER (T),Residential,44415100
Residential,2003,CHIPPEWA,09028 HALLIE (T),Residential,194656000
Residential,2003,GREEN,23012 DECATUR (T),Residential,66785200
Residential,2003,BAYFIELD,04012 CABLE (T),Residential,66362800
Residential,2003,BUFFALO,06032 NELSON (T),Residential,10898325
Residential,2003,BUFFALO,06034 WAUMANDEE (T),Residential,6302500
Residential,2003,CLARK,10034 LYNN (T),Residential,9186500
Residential,2003,GRANT,22038 MOUNT HOPE (T),Residential,1218600
Residential,2003,BURNETT,07026 SAND LAKE (T),Residential,43214400
Residential,2003,COLUMBIA,11014 FOUNTAIN PRAIRIE (T),Residential,27586400
Residential,2003,DANE,13018 COTTAGE GROVE (T),Residential,250421600
Residential,2003,MARINETTE,38004 ATHELSTANE (T),Residential,53675900
Residential,2003,BARRON,03034 PRAIRIE FARM (T),Residential,10581800
Residential,2003,DOOR,15010 FORESTVILLE (T),Residential,30293700
Residential,2003,FLORENCE,19016 TIPLER (T),Residential,12005600
Residential,2003,FOND DU LAC,20002 ALTO (T),Residential,32218650
Residential,2003,DANE,13016 CHRISTIANA (T),Residential,54516500
Residential,2003,GREEN LAKE,24002 BERLIN (T),Residential,48694000
Residential,2003,MANITOWOC,36012 GIBSON (T),Residential,42098550
Residential,2003,MANITOWOC,36010 FRANKLIN (T),Residential,37711500
Residential,2003,DOUGLAS,16022 OAKLAND (T),Residential,34654055
Residential,2003,GREEN,23010 CLARNO (T),Residential,25013900
Residential,2003,MARATHON,37036 HAMBURG (T),Residential,18248700
Residential,2003,MARATHON,37038 HARRISON (T),Residential,8402500
Residential,2003,BROWN,05010 EATON (T),Residential,59939400
Residential,2003,CHIPPEWA,09024 ESTELLA (T),Residential,10227300
Residential,2003,DOUGLAS,16020 MAPLE (T),Residential,16153200
